TF pct ,,,0.9697,,,Run t distribution,result:,parameter 1,parameter 2,parameter 3
0.010967742,-0.000556172,1.14E-04,1.03E+00,,,,,,,
0.005105297,-0.000384629,1.11E-04,4.85E-01,,,,,,,
0.002222222,-0.000305642,1.08E-04,2.14E-01,,,,,,,
-0.02565727,-0.001073796,1.25E-04,-2.31E+00,,,,,,,
0.010403121,-0.000726045,1.24E-04,9.36E-01,,,,,,,
0.006756757,-0.000499317,1.22E-04,6.13E-01,,,,,,,
0.001840844,-0.00042841,1.18E-04,1.69E-01,,,,,,,
0,-0.000415429,1.15E-04,0.00E+00,,,,,,,
0.008188976,-0.000154715,1.13E-04,7.70E-01,,,,,,,
0.017806935,0.000389523,1.19E-04,1.63E+00,,,,,,,
0,0.00037772,1.16E-04,0.00E+00,,,,,,,
0.00092081,0.000394176,1.12E-04,8.70E-02,,,,,,,
-0.002453235,0.000307899,1.09E-04,-2.35E-01,,,,,,,
-0.00430372,0.000168167,1.06E-04,-4.18E-01,,,,,,,
-0.007100957,-5.20873E-05,1.05E-04,-6.94E-01,,,,,,,
0.000310945,-4.10874E-05,1.01E-04,3.09E-02,,,,,,,
0.00447622,9.5787E-05,9.89E-05,4.50E-01,,,,,,,
0.000804605,0.000117264,9.60E-05,8.21E-02,,,,,,,
0.011131725,0.000451002,9.68E-05,1.13E+00,,,,,,,
-0.001529052,0.000391007,9.39E-05,-1.58E-01,,,,,,,
0.000918836,0.000407,9.11E-05,9.63E-02,,,,,,,
0.000305998,0.00040394,8.84E-05,3.26E-02,,,,,,,
0.002447232,0.000465851,8.59E-05,2.64E-01,,,,,,,
-0.006713457,0.000248318,8.46E-05,-7.30E-01,,,,,,,
0.007066052,0.000454896,8.36E-05,7.74E-01,,,,,,,
0.006101281,0.000625981,8.22E-05,6.75E-01,,,,,,,
0.013038205,0.001002071,8.48E-05,1.42E+00,,,,,,,
-0.00179587,0.000917294,8.24E-05,-1.99E-01,,,,,,,
-0.006296852,0.000698705,8.11E-05,-7.01E-01,,,,,,,
-0.005733253,0.000503817,7.96E-05,-6.44E-01,,,,,,,
0.012139605,0.000856381,8.17E-05,1.35E+00,,,,,,,
-0.002098951,0.000766835,7.93E-05,-2.37E-01,,,,,,,
0,0.0007436,7.69E-05,0.00E+00,,,,,,,
0.002704327,0.00080301,7.48E-05,3.14E-01,,,,,,,
0.004495055,0.000914879,7.32E-05,5.29E-01,,,,,,,
-0.005071599,0.000733488,7.17E-05,-6.01E-01,,,,,,,
-0.018170915,0.000160685,7.95E-05,-2.04E+00,,,,,,,
0.002015636,0.00021689,7.73E-05,2.29E-01,,,,,,,
0.012800975,0.000598188,7.99E-05,1.44E+00,,,,,,,
0.000601866,0.000598299,7.75E-05,6.85E-02,,,,,,,
0.006616541,0.000780652,7.65E-05,7.60E-01,,,,,,,
-0.00298775,0.000666469,7.44E-05,-3.47E-01,,,,,,,
-0.003596044,0.000537315,7.25E-05,-4.23E-01,,,,,,,
0.004210526,0.000648614,7.09E-05,5.02E-01,,,,,,,
-0.012878107,0.000238754,7.38E-05,-1.50E+00,,,,,,,
0.00940534,0.000516501,7.42E-05,1.09E+00,,,,,,,
-0.008896904,0.000231275,7.44E-05,-1.03E+00,,,,,,,
0.003517923,0.000330861,7.25E-05,4.14E-01,,,,,,,
-0.006648534,0.000119385,7.16E-05,-7.86E-01,,,,,,,
-0.007909948,-0.000123904,7.13E-05,-9.37E-01,,,,,,,
0.011652867,0.000232932,7.33E-05,1.36E+00,,,,,,,
0.012731131,0.000611628,7.60E-05,1.46E+00,,,,,,,
0.00568692,0.000765409,7.47E-05,6.61E-01,,,,,,,
-0.00327381,0.000643021,7.27E-05,-3.85E-01,,,,,,,
-0.01313825,0.000225448,7.58E-05,-1.51E+00,,,,,,,
0.007080182,0.000433147,7.50E-05,8.19E-01,,,,,,,
0.008893162,0.000689485,7.51E-05,1.03E+00,,,,,,,
0.005955926,0.000849058,7.39E-05,6.96E-01,,,,,,,
0.004618117,0.000963261,7.23E-05,5.47E-01,,,,,,,
0.007190005,0.001151931,7.17E-05,8.57E-01,,,,,,,
0.000292569,0.001125892,6.95E-05,3.54E-02,,,,,,,
-0.005849664,0.000914533,6.84E-05,-7.11E-01,,,,,,,
-0.010767873,0.000560556,6.99E-05,-1.29E+00,,,,,,,
-0.021532239,-0.000108855,8.18E-05,-2.38E+00,,,,,,,
0.014589666,0.00033651,8.58E-05,1.58E+00,,,,,,,
-0.001497903,0.000280927,8.33E-05,-1.64E-01,,,,,,,
-0.01680168,-0.000236676,8.93E-05,-1.78E+00,,,,,,,
0.014037229,0.000195823,9.26E-05,1.46E+00,,,,,,,
0.008426121,0.000445201,9.19E-05,8.80E-01,,,,,,,
0.018740674,0.000999554,9.98E-05,1.89E+00,,,,,,,
0,0.000969268,9.67E-05,0.00E+00,,,,,,,
0.002341235,0.001010838,9.40E-05,2.43E-01,,,,,,,
-0.016934307,0.0004671,9.98E-05,-1.70E+00,,,,,,,
0.006534007,0.000650928,9.81E-05,6.61E-01,,,,,,,
-0.008557096,0.000371925,9.73E-05,-8.68E-01,,,,,,,
-0.005357143,0.000198334,9.52E-05,-5.49E-01,,,,,,,
-0.007181329,-2.527E-05,9.39E-05,-7.41E-01,,,,,,,
